source_system,entity_name,procedure_number,lot_number,line_no,item_name,okpd_code,okpd_name,quantity,unit,price_rub,item_description,item_id_external,okei_code,unit_price_rub,line_total_rub,sberb2b_need_id,sberb2b_condition_id,unit_price_source,focus_category
sberbank_ast,ООО СберТех,79376109,1,1,"Обучение по пожарной безопасности для руководителей организаций и лиц, назначенных руководителем организации, ответственными за обеспечение пожарной безопасности",,,2.0,шт,9957.5,"Дистанционно; Количество: не менее 256 часов; Результат: диплом о профессиональной переподготовке государственного образца, ссылка на рег.номер в Федеральном реестре сведений о документах об образовании. Стоимость за 1 человека.",cc7251c2-c439-4751-a183-ec1bdf6b7d1f,796,4978.75,9957.5,12531606-0d05-4354-ae6c-87086f328ba8,173c3e03-5e86-47fe-9739-c39a799b2a00,sberb2b_goods_api,Software & Cloud
sberbank_ast,ООО СберТех,79376109,1,2,"Обучение по гражданской обороне и защита от чрезвычайных ситуаций для руководителей организаций и лиц, назначенных руководителем организации, уполномоченными в решении задач в области гражданской обороны",,,2.0,шт,3857.5,"Дистанционно; Количество: не менее 24 часов; Результат: удостоверение о повышении квалификации, ссылка на рег.номер в Федеральном реестре сведений о документах об образовании. Стоимость за 1 человека.",9a3d1771-5800-4c1e-a699-f1ffdb09fdb4,796,1928.75,3857.5,12531606-0d05-4354-ae6c-87086f328ba8,173c3e03-5e86-47fe-9739-c39a799b2a00,sberb2b_goods_api,Software & Cloud
sberbank_ast,ООО СберТех,79376109,1,3,Обучение руководителя или ответственного по общим вопросам охраны труда и функционирования системы управления охраной труда (программа 46А),,,2.0,шт,2207.5,"Дистанционно; Количество: не менее 16 часов; Результат: протокол проверки знаний, ссылка на регистрационный номер в реестр Минтруда РФ. Стоимость за 1 человека.",a031d3e6-6754-41da-83b5-d7b86031a52a,796,1103.75,2207.5,12531606-0d05-4354-ae6c-87086f328ba8,173c3e03-5e86-47fe-9739-c39a799b2a00,sberb2b_goods_api,Software & Cloud
sberbank_ast,ООО СберТех,79376109,1,4,"Обучение руководителя или ответственного по охране труда безопасным методам и приемам выполнения работ при воздействии вредных и (или) опасных производственных факторов, источников опасности, идентифицированных в рамках специальной оценки (программа 46 Б)",,,2.0,шт,2207.5,"Дистанционно; Количество: не менее 16 часов; Результат: протокол проверки знаний, ссылка на регистрационный номер в реестр Минтруда РФ. Стоимость за 1 человека.",785cfce1-0a61-4496-8c5f-d56172631496,796,1103.75,2207.5,12531606-0d05-4354-ae6c-87086f328ba8,173c3e03-5e86-47fe-9739-c39a799b2a00,sberb2b_goods_api,Software & Cloud
sberbank_ast,АО Сбербанк Лизинг,79442871,1,1,Поставка бутилированной питьевой воды г. Волгоград,,,1.0,шт,0.0,согласно тз во вложении,25b94ced-632d-4acb-ade7-8dd4942e65f3,796,0.0,0.0,4fd5ce61-cb9b-4f1b-9bfd-69088e31cdf4,05772fee-c949-4af7-8362-ba3bce09b897,sberb2b_goods_api,Other
sberbank_ast,АО Сбербанк Лизинг,79585355,1,1,"Оказание услуг по организации производственной встречи для сотрудников Дальневосточного регионального филиала (г. Хабаровск) в следующем формате: командообразующая активность, с оплатой услуг по организации питания, для сотрудников филиала в г. Хабаровск",,,1.0,шт,72000.0,согласно ТЗ во вложении,5cac4a9a-60b8-448c-92bf-66c3347abab4,796,72000.0,72000.0,2d0a8f1d-8371-483c-a7ce-30c8b6e091b6,7159b954-1f3f-416b-a9d1-5a09bca317cd,sberb2b_goods_api,Other
sberbank_ast,АО Сбербанк Лизинг,79743788,1,1,Apple iPad Air 11 2025 256Gb Wi-Fi + Cellular,,,1.0,шт,0.0,Apple iPad Air 11 2025 256Gb Wi-Fi + Cellular Процессор: М3,90da19b1-6fd1-4750-b174-b30dcba8601f,796,0.0,0.0,1e97b18a-f8d0-4c66-ae42-aebc6103e339,b995d67c-de6c-455d-9f0b-12117c877589,sberb2b_goods_api,Other
sberbank_ast,ООО СберАвто,80659051,1,1,Комплекс работ по специальной оценке условий труда,,,53.0,шт,89994.0,,f5a33e4a-5bfc-456e-9ade-979e3f910b98,796,1698.0,89994.0,d8e3e82e-4c3d-40b5-beee-29b4d1295dae,9ca3f1ad-fcb7-4c2a-8a4b-d0cd8d6dd9f5,sberb2b_goods_api,Other
sberbank_ast,ПАО Сбербанк России,81215614,1,1,Напольный мольберт,32.99.59.000,"Изделия различные прочие, не включенные в другие группировки",10.0,шт,15500.0,,6ef117a9-c8a6-476c-83d0-a1cb74d5c63f,796,1550.0,15500.0,5a58fa2e-ccff-4eda-b501-87477a1c55f3,58600b13-d248-4183-82bd-86c713ef4483,sberb2b_goods_api,Other
sberbank_ast,АО Сбербанк Лизинг,82324975,1,1,СРОЧНО! Поставка кофе для нужд Центрально-Черноземного регионального филиала АО «Сбербанк Лизинг» в г. Воронеж,,,,,,,,,,,,,lot_total_fallback,Other
