source_system,platform_section,entity_name,customer_query,procedure_number,lot_number,subject,customer_name,region,status,tender_type,price_rub,deadline_at,detail_url,tags,published_at,application_deadline,method_name,currency,search_url,published_at_detail,application_deadline_detail,detail_price_rub,okpd_code,okpd_name,quantity,unit,delivery_place,method_name_detail,currency_detail,seller_name,seller_tax_id,documents_available,publication_month,publication_year,focus_category,duplicate_group_size
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",22932854,1,"Поставка канцелярских товаров для нужд Байкальского регионального филиала АО ""Сбербанк Лизинг"" в г. Якутск","АО ""СБЕРБАНК ЛИЗИНГ""",,Отменено,Запрос предложений в электронной форме,,2025-03-12 10:00:00,https://sberb2b.ru/request/supplier/preview/0364bffc-2284-4dca-9942-2a15b251ceb4,SberB2B,2025-03-05 16:51:00,2025-03-12 10:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Office & Admin,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",13519017,1,"Поставка канцелярских товаров для нужд Байкальского регионального филиала АО ""Сбербанк Лизинг"" в г. Чита","АО ""СБЕРБАНК ЛИЗИНГ""",,Отменено,Запрос предложений в электронной форме,,2025-03-12 10:00:00,https://sberb2b.ru/request/supplier/preview/829dca88-20a1-44b6-a0d2-1f33023e2380,SberB2B,2025-03-05 14:20:00,2025-03-12 10:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Office & Admin,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",85581429,1,Поставка цветов (Тюльпаны),"АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-03-05 17:00:00,https://sberb2b.ru/request/supplier/preview/36d2b712-ae24-42d1-9716-37a4352d0059,SberB2B,2025-03-04 18:37:00,2025-03-05 17:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Other,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",69484160,1,Услуги по сервисному (техническому) обслуживанию и ремонту противопожарных дверей для нужд АО «Сбербанк Лизинг».,"АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-03-07 12:00:00,https://sberb2b.ru/request/supplier/preview/7cf605e8-a2b1-4570-b626-0c39fcb4039f,SberB2B,2025-03-04 18:14:00,2025-03-07 12:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Infrastructure,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",124690019,1,"Выполнение работ по демонтажу, поставке и установке противопожарного стекла","АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-03-07 12:00:00,https://sberb2b.ru/request/supplier/preview/7b17324f-f36c-4029-9f93-d78d06d7cd64,SberB2B,2025-03-04 18:07:00,2025-03-07 12:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Infrastructure,1
sberbank_ast,SberB2B,АО Сбербанк-АСТ,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК-АВТОМАТИЗИРОВАННАЯ СИСТЕМА ТОРГОВ""",86398313,1,СРОЧНО! Изготовление блокнотов с логотипом компании,"АО ""СБЕРБАНК - АСТ""",,Отменено,Запрос предложений в электронной форме,54642.0,2025-03-05 18:00:00,https://sberb2b.ru/request/supplier/preview/114232f2-10de-49ab-a0d6-4aa93f32f223,SberB2B,2025-03-04 12:13:00,2025-03-05 18:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Other,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",38073278,1,"Поставка цветочных композиций для нужд АО ""Сбербанк Лизинг""","АО ""СБЕРБАНК ЛИЗИНГ""",,Отменено,Запрос предложений в электронной форме,,2025-03-04 17:00:00,https://sberb2b.ru/request/supplier/preview/6bb76f4f-d966-4f5e-9d5d-6a49a144e71c,SberB2B,2025-03-04 11:02:00,2025-03-04 17:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Other,1
sberbank_ast,Торги коммерческих заказчиков,ООО Сбербанк-Телеком,"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СБЕРБАНК-ТЕЛЕКОМ""",SBR028-2503030067.1,1,"Поставка ноутбуков, смартфонов и периферийного оборудования для ООО Сбербанк-Телеком","ООО ""СБЕРБАНК-ТЕЛЕКОМ""",,Отменен(-а),"Запрос котировок (закупка, с ЭП)",,2025-03-07 10:00:00,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/48/0/0/2826167,Торги коммерческих заказчиков,2025-03-03 16:59:00,2025-03-07 10:00:00,"Запрос котировок (закупка, с ЭП)",RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Telecom & Devices,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",3375740,1,Оказание образовательных услуг по теме: «Объединение команды- мотивация на успех!»,"АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-03-05 10:00:00,https://sberb2b.ru/request/supplier/preview/d16a0ca3-e931-437a-bf6e-f3b0fea5c8b0,SberB2B,2025-03-03 15:36:00,2025-03-05 10:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-03,2025,Other,1
sberbank_ast,SberB2B,АО Сбербанк Лизинг,"АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК ЛИЗИНГ""",112684653,1,Поставка считывателей бесконтактных карт,"АО ""СБЕРБАНК ЛИЗИНГ""",,Подача заявок,Запрос предложений в электронной форме,,2025-02-28 12:00:00,https://sberb2b.ru/request/supplier/preview/66bf7dbe-29aa-4d3d-a4f9-39dc8810c755,SberB2B,2025-02-26 11:45:00,2025-02-28 12:00:00,Запрос предложений в электронной форме,RUB,https://utp.sberbank-ast.ru/Main/List/UnitedPurchaseListNew,,,,,,,,,,,,,,2025-02,2025,Other,1
