source_system,procedure_number,lot_number,document_name,document_url,document_storage_name,document_mime_type,document_size_bytes,document_hash,is_available,local_path,extraction_method,text_chars,ocr_required,pii_findings_count
sberbank_ast,75641071,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/5b/327/eea/5b327eeada0797f640622ec57bd59e64.docx,5b327eeada0797f640622ec57bd59e64.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,25615.0,5b327eeada0797f640622ec57bd59e64,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\75641071_001_ТЗ.docx,docx_xml,1955.0,False,0.0
sberbank_ast,96275383,1,Тех задание кресла_.docx,https://sberb2b.ru/uploads/documents/1c/d40/736/1cd40736939319967ebd5a402ae24a7d.docx,1cd40736939319967ebd5a402ae24a7d.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,197217.0,1cd40736939319967ebd5a402ae24a7d,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\96275383_001_Тех задание кресла.docx,docx_xml,431.0,False,0.0
sberbank_ast,26167297,1,Тех задание кресла_ЦЧРФ.docx,https://sberb2b.ru/uploads/documents/bf/c72/236/bfc722367460aec410a1cb0f989d0e75.docx,bfc722367460aec410a1cb0f989d0e75.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,40173.0,bfc722367460aec410a1cb0f989d0e75,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\26167297_001_Тех задание кресла_ЦЧРФ.docx,docx_xml,1022.0,False,0.0
sberbank_ast,53983996,1,ТЗ.docx,https://sberb2b.ru/uploads/documents/e9/8e0/ec8/e98e0ec861a1e1ae3cdb038d08677f29.docx,e98e0ec861a1e1ae3cdb038d08677f29.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,110472.0,e98e0ec861a1e1ae3cdb038d08677f29,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\53983996_001_ТЗ.docx,docx_xml,5428.0,False,0.0
sberbank_ast,53983996,1,Запрос КП.docx,https://sberb2b.ru/uploads/documents/5b/72f/6f1/5b72f6f1edf95d662f284c2c75d9ade5.docx,5b72f6f1edf95d662f284c2c75d9ade5.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,21481.0,5b72f6f1edf95d662f284c2c75d9ade5,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\53983996_002_Запрос КП.docx,docx_xml,2916.0,False,1.0
sberbank_ast,101519415,1,Договор № 2511_2025.DOC,https://sberb2b.ru/uploads/documents/57/640/670/57640670429debf3651d2f7ac46e8cd2.DOC,57640670429debf3651d2f7ac46e8cd2.DOC,application/msword,119808.0,57640670429debf3651d2f7ac46e8cd2,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\101519415_001_Договор № 2511_2025.DOC,unsupported,0.0,False,0.0
sberbank_ast,27790080,1,Запрос КП_изготовление жалюзи.docx,https://sberb2b.ru/uploads/documents/0b/ac3/012/0bac3012dba4ffad8545e9d13b7abba9.docx,0bac3012dba4ffad8545e9d13b7abba9.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,27015.0,0bac3012dba4ffad8545e9d13b7abba9,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\27790080_001_Запрос КП_изготовление жалюзи.docx,docx_xml,3743.0,False,1.0
sberbank_ast,121226934,1,ТЗ.doc,https://sberb2b.ru/uploads/documents/e3/ec4/18d/e3ec418d2afe14d57c421ca45093d02c.doc,e3ec418d2afe14d57c421ca45093d02c.doc,application/msword,79872.0,e3ec418d2afe14d57c421ca45093d02c,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\121226934_001_ТЗ.doc,unsupported,0.0,False,0.0
sberbank_ast,66487268,1,ТЗ _ электронные курсы по ЭБ.docx,https://sberb2b.ru/uploads/documents/bc/ebc/ca5/bcebcca508628f670260729cdddd05f5.docx,bcebcca508628f670260729cdddd05f5.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,29636.0,bcebcca508628f670260729cdddd05f5,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\66487268_001_ТЗ _ электронные курсы по ЭБ.docx,docx_xml,5126.0,False,0.0
sberbank_ast,40559151,1,Тех задание чай кофе сахар - 4 кв. 25 (002).docx,https://sberb2b.ru/uploads/documents/62/861/7b0/628617b09747a5454096389d6e80564a.docx,628617b09747a5454096389d6e80564a.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,41106.0,628617b09747a5454096389d6e80564a,True,D:\Nikita\Work\purchase_analysis\data\raw\sberb2b\documents\40559151_001_Тех задание чай кофе сахар - 4 кв. 25 (002).docx,docx_xml,1654.0,False,0.0
