entity_name,procedure_number,lot_number,subject,focus_category,price_rub,category_median_price,value_ratio_to_category_median,anomaly_type,anomaly_reason,detail_url
ПАО Сбербанк России,SBR028-2403270020.1,1,г. Санкт-Петербург 2. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,40000.0,,2.6666666666666665,repeated_subject_price_shift,same subject price spread 2.67x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1771383
ПАО Сбербанк России,SBR028-2403130019.1,1,г. Санкт-Петербург 3. Процедура продажи б.у. ИТ оборудования в количестве 50 штук.,Other,40000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1716219
ПАО Сбербанк России,SBR028-2508250026.1,1,г. Москва-1. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,37500.0,,4.8,repeated_subject_price_shift,same subject price spread 4.80x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3356700
ПАО Сбербанк России,SBR028-2507290070.1,1,г. Краснодар 1. Процедура продажи б.у. ИТ оборудования в количестве 12 штук.,Other,36000.0,,2.1333333333333333,repeated_subject_price_shift,same subject price spread 2.13x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3291406
ПАО Сбербанк России,SBR028-2410250037.1,1,г. Вологда 1. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,34800.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2418450
ПАО Сбербанк России,SBR028-2501200018.1,1,г. Москва-4. Процедура продажи б.у. ИТ оборудования в количестве 15 штук.,Other,34500.0,,3.0434782608695654,repeated_subject_price_shift,same subject price spread 3.04x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2694384
ПАО Сбербанк России,SBR028-2408190074.1,1,г. Краснодар 2. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,34000.0,,2.1375,repeated_subject_price_shift,same subject price spread 2.14x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2230541
ПАО Сбербанк России,SBR028-2412240069.1,1,г. Краснодар. Процедура продажи б.у. ИТ оборудования в количестве 29 штук.,Other,32500.0,,3.6615384615384614,repeated_subject_price_shift,same subject price spread 3.66x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2641775
ПАО Сбербанк России,SBR028-2501200046.1,1,г. Краснодар 2. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,32000.0,,2.1375,repeated_subject_price_shift,same subject price spread 2.14x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2694683
ПАО Сбербанк России,SBR028-2410250058.1,1,г. Ставрополь 2. Процедура продажи б.у. ИТ оборудования в количестве 45 штук.,Other,31500.0,,3.6666666666666665,repeated_subject_price_shift,same subject price spread 3.67x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2418495
ПАО Сбербанк России,SBR028-2509080049.1,1,г. Волгоград. Процедура продажи б.у. ИТ оборудования в количестве 56 штук.,Other,30680.0,,2.142857142857143,repeated_subject_price_shift,same subject price spread 2.14x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/3392822
ПАО Сбербанк России,SBR028-2503310030.1,1,г. Вологда 1. Процедура продажи б.у. ИТ оборудования в количестве 30 штук.,Other,30000.0,,2.0,repeated_subject_price_shift,same subject price spread 2.00x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2929155
ПАО Сбербанк России,SBR028-2410100017.1,1,г. Иркутск. Процедура продажи б.у. ИТ оборудования в количестве 20 штук.,Other,30000.0,,11.133333333333333,repeated_subject_price_shift,same subject price spread 11.13x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/2374338
ПАО Сбербанк России,SBR028-2403270040.1,1,г. Ставрополь. Процедура продажи б.у. ИТ оборудования в количестве 100 штук.,Other,30000.0,,3.3333333333333335,repeated_subject_price_shift,same subject price spread 3.33x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1771417
ПАО Сбербанк России,SBR028-2403270033.1,1,г. Екатеринбург 2. Процедура продажи б.у. ИТ оборудования в количестве 100 штук.,Other,30000.0,,5.333333333333333,repeated_subject_price_shift,same subject price spread 5.33x,https://utp.sberbank-ast.ru/VIP/NBT/PurchaseView/18/0/0/1771405
