factor_date,usd_rub,nominal
2024-09-20,92.6962,1.0
2024-09-21,92.5848,1.0
2024-09-24,92.92,1.0
2024-09-25,92.8622,1.0
2024-09-26,92.388,1.0
2024-09-27,92.4074,1.0
2024-09-28,92.7126,1.0
2024-10-01,93.2221,1.0
2024-10-02,93.3581,1.0
2024-10-03,94.5054,1.0
2024-10-04,95.0262,1.0
2024-10-05,94.87,1.0
2024-10-08,96.0649,1.0
2024-10-09,96.1079,1.0
2024-10-10,96.9483,1.0
2024-10-11,97.2394,1.0
2024-10-12,96.0686,1.0
2024-10-15,96.1021,1.0
2024-10-16,97.0121,1.0
2024-10-17,97.2568,1.0
2024-10-18,97.149,1.0
2024-10-19,96.4172,1.0
2024-10-22,96.0924,1.0
2024-10-23,96.5918,1.0
2024-10-24,96.6379,1.0
2024-10-25,96.7402,1.0
2024-10-26,96.6657,1.0
2024-10-29,97.23,1.0
2024-10-30,97.3261,1.0
2024-10-31,97.053,1.0
2024-11-01,97.0226,1.0
2024-11-02,97.4402,1.0
2024-11-03,97.5499,1.0
2024-11-06,98.0562,1.0
2024-11-07,98.2236,1.0
2024-11-08,98.0726,1.0
2024-11-09,97.8335,1.0
2024-11-12,97.955,1.0
2024-11-13,97.9559,1.0
2024-11-14,98.3657,1.0
2024-11-15,99.018,1.0
2024-11-16,99.9971,1.0
2024-11-19,99.943,1.0
2024-11-20,100.0348,1.0
2024-11-21,100.2192,1.0
2024-11-22,100.6798,1.0
2024-11-23,102.5761,1.0
2024-11-26,103.7908,1.0
2024-11-27,105.0604,1.0
2024-11-28,108.0104,1.0
2024-11-29,109.5782,1.0
2024-11-30,107.7409,1.0
2024-12-03,107.1758,1.0
2024-12-04,106.1878,1.0
2024-12-05,104.2361,1.0
2024-12-06,103.3837,1.0
2024-12-07,99.4215,1.0
2024-12-10,99.3759,1.0
2024-12-11,100.0324,1.0
2024-12-12,103.2707,1.0
2024-12-13,103.95,1.0
2024-12-14,103.4305,1.0
2024-12-17,102.9125,1.0
2024-12-18,102.9979,1.0
2024-12-19,102.7763,1.0
2024-12-20,103.4207,1.0
2024-12-21,102.3438,1.0
2024-12-24,101.6143,1.0
2024-12-25,99.8729,1.0
2024-12-26,99.6125,1.0
